Time,U,Y,X1,X2
0.0,4.49,5.17,-1696.07,0.0
0.001,0.0,0.0,0.0,0.0
0.002,76.36,0.0,0.06,-142.1
0.003,150.17,0.0,0.15,-284.15
0.004,223.39,0.02,0.25,-426.16
0.005,295.78,0.26,0.37,-567.61
0.006,363.47,0.44,0.51,-701.23
0.007,427.88,0.68,0.66,-829.35
0.008,487.86,0.87,0.82,-949.83
0.009,544.34,1.21,0.99,-1064.22
0.01,594.76,1.47,1.17,-1167.69
0.011,640.71,1.74,1.35,-1263.02
0.012,682.03,2.0,1.54,-1349.82
0.013,718.92,2.3,1.72,-1428.44
0.014,750.69,2.55,1.9,-1497.46
0.015,778.41,2.75,2.09,-1558.8
0.016,802.78,2.94,2.27,-1613.73
0.017,824.08,3.14,2.44,-1662.73
0.018,842.15,3.35,2.61,-1705.5
0.019,856.8,3.45,2.78,-1741.61
0.02,869.79,3.62,2.94,-1774.3
0.021,880.14,3.8,3.1,-1801.8
0.022,887.65,3.92,3.25,-1823.66
0.023,893.24,4.04,3.39,-1841.56
0.024,897.01,4.22,3.52,-1855.72
0.025,897.97,4.3,3.65,-1864.25
0.026,897.86,4.37,3.77,-1870.35
0.027,896.83,4.46,3.89,-1874.37
0.028,894.33,4.49,3.99,-1875.3
0.029,891.52,4.54,4.09,-1875.25
0.03,888.17,4.66,4.19,-1873.88
0.031,882.86,4.62,4.27,-1868.52
0.032,878.55,4.74,4.35,-1864.62
0.033,872.35,4.76,4.43,-1856.96
0.034,865.94,4.81,4.49,-1848.53
0.035,858.87,4.75,4.56,-1838.55
0.036,853.05,4.82,4.61,-1830.58
0.037,846.14,4.79,4.66,-1820.4
0.038,839.82,4.81,4.71,-1811.01
0.039,833.32,4.77,4.75,-1801.07
0.04,827.61,4.79,4.79,-1792.37
0.041,821.63,4.81,4.83,-1783.0
0.042,815.53,4.72,4.86,-1773.2
0.043,810.97,4.74,4.88,-1766.08
0.044,806.22,4.74,4.91,-1758.52
0.045,801.49,4.77,4.93,-1750.85
0.046,796.31,4.7,4.95,-1742.19
0.047,792.47,4.76,4.97,-1735.87
0.048,787.65,4.71,4.98,-1727.66
0.049,783.69,4.64,4.99,-1720.9
0.05,781.03,4.7,5.01,-1716.48
0.051,777.36,4.7,5.02,-1710.18
0.052,773.77,4.68,5.02,-1703.88
0.053,770.52,4.62,5.03,-1698.14
0.054,768.38,4.57,5.04,-1694.4
0.055,767.07,4.65,5.04,-1692.22
0.056,764.34,4.56,5.05,-1687.37
0.057,763.22,4.57,5.05,-1685.41
0.058,761.96,4.53,5.05,-1683.24
0.059,761.37,4.54,5.06,-1682.28
0.06,760.66,4.58,5.06,-1681.1
0.061,759.25,4.56,5.06,-1678.59
0.062,758.23,4.48,5.06,-1676.75
0.063,758.59,4.52,5.06,-1677.46
0.064,758.19,4.51,5.07,-1676.84
0.065,757.94,4.49,5.07,-1676.45
0.066,757.98,4.51,5.07,-1676.6
0.067,757.73,4.52,5.07,-1676.21
0.068,757.36,4.48,5.07,-1675.59
0.069,757.72,4.49,5.07,-1676.3
0.07,757.88,4.51,5.07,-1676.68
0.071,757.69,4.48,5.07,-1676.39
0.072,758.05,4.48,5.08,-1677.1
0.073,758.33,4.47,5.08,-1677.71
0.074,758.79,4.48,5.08,-1678.64
0.075,759.13,4.51,5.08,-1679.35
0.076,758.93,4.48,5.08,-1679.06
0.077,759.29,4.49,5.08,-1679.78
0.078,759.45,4.44,5.08,-1680.16
0.079,760.51,4.46,5.09,-1682.2
0.08,761.06,4.45,5.09,-1683.35
0.081,761.86,4.47,5.09,-1684.95
0.082,762.35,4.48,5.09,-1685.99
0.083,762.62,4.48,5.09,-1686.59
0.084,762.94,4.48,5.1,-1687.3
0.085,763.27,4.48,5.1,-1688.01
0.086,763.59,4.49,5.1,-1688.72
0.087,763.74,4.48,5.1,-1689.1
0.088,764.07,4.48,5.1,-1689.81
0.089,764.39,4.51,5.11,-1690.52
0.09,764.12,4.44,5.11,-1690.13
0.091,765.18,4.48,5.11,-1692.17
0.092,765.48,4.44,5.11,-1692.88
0.093,766.4,4.44,5.12,-1694.7
0.094,767.3,4.49,5.12,-1696.51
0.095,767.42,4.51,5.12,-1696.89
0.096,767.2,4.45,5.12,-1696.6
0.097,768.01,4.48,5.12,-1698.2
0.098,768.32,4.44,5.13,-1698.91
0.099,769.35,4.51,5.13,-1700.95
0.1,769.11,4.47,5.13,-1700.66
0.101,769.55,4.43,5.13,-1701.59
0.102,770.7,4.52,5.14,-1703.86
0.103,770.27,4.54,5.14,-1703.23
0.104,769.59,4.48,5.14,-1702.06
0.105,769.94,4.5,5.14,-1702.77
0.106,769.85,4.52,5.14,-1702.71
0.107,769.41,4.26,5.15,-1701.97
0.108,773.51,4.44,5.15,-1709.66
0.109,774.31,4.47,5.15,-1711.48
