Time,U,Y,X1,X2
0.0,4.49,4.49,-1662.71,0.0
0.001,0.0,0.0,0.0,0.0
0.002,76.36,0.0,0.0,-142.09
0.003,151.86,0.0,0.0,-284.27
0.004,227.36,0.07,0.07,-426.45
0.005,299.84,0.16,0.16,-566.33
0.006,369.96,0.4,0.4,-703.14
0.007,432.08,0.67,0.67,-832.05
0.008,488.93,0.92,0.92,-952.41
0.009,542.12,1.21,1.21,-1064.93
0.01,589.44,1.47,1.47,-1168.29
0.011,633.25,1.73,1.73,-1263.57
0.012,672.71,2.01,2.01,-1350.68
0.013,706.83,2.26,2.26,-1428.87
0.014,737.48,2.48,2.48,-1499.12
0.015,765.55,2.71,2.71,-1562.65
0.016,789.13,2.94,2.94,-1618.7
0.017,809.13,3.12,3.12,-1667.61
0.018,827.4,3.28,3.28,-1710.93
0.019,843.6,3.48,3.48,-1749.29
0.02,855.15,3.67,3.67,-1781.13
0.021,864.08,3.79,3.79,-1807.14
0.022,872.68,3.93,3.93,-1829.4
0.023,878.14,4.06,4.06,-1846.97
0.024,881.91,4.14,4.14,-1860.49
0.025,885.67,4.22,4.22,-1871.56
0.026,888.39,4.34,4.34,-1880.33
0.027,887.55,4.43,4.43,-1885.0
0.028,886.3,4.49,4.49,-1886.98
0.029,884.96,4.54,4.54,-1887.25
0.03,883.0,4.61,4.61,-1885.98
0.031,878.96,4.67,4.67,-1882.21
0.032,874.4,4.69,4.69,-1876.59
0.033,870.7,4.72,4.72,-1870.49
0.034,866.08,4.74,4.74,-1863.37
0.035,861.56,4.76,4.76,-1855.72
0.036,856.74,4.79,4.79,-1847.51
0.037,850.99,4.77,4.77,-1838.27
0.038,846.9,4.81,4.81,-1829.69
0.039,840.61,4.79,4.79,-1819.76
0.04,836.16,4.84,4.84,-1810.51
0.041,829.05,4.81,4.81,-1799.57
0.042,824.69,4.81,4.81,-1789.79
0.043,819.46,4.81,4.81,-1779.94
0.044,814.39,4.81,4.81,-1770.22
0.045,809.22,4.79,4.79,-1760.48
0.046,804.68,4.76,4.76,-1751.22
0.047,801.15,4.73,4.73,-1743.0
0.048,798.15,4.72,4.72,-1735.78
0.049,794.75,4.72,4.72,-1728.86
0.05,790.9,4.74,4.74,-1721.79
0.051,786.37,4.7,4.7,-1714.14
0.052,784.2,4.69,4.69,-1707.94
0.053,781.17,4.68,4.68,-1701.89
0.054,778.42,4.67,4.67,-1696.19
0.055,775.69,4.67,4.67,-1690.7
0.056,772.77,4.65,4.65,-1685.2
0.057,770.78,4.62,4.62,-1680.4
0.058,769.76,4.62,4.62,-1676.75
0.059,767.79,4.57,4.57,-1673.02
0.06,767.82,4.58,4.58,-1670.84
0.061,766.15,4.57,4.57,-1668.2
0.062,765.38,4.59,4.59,-1666.06
0.063,763.45,4.56,4.56,-1663.3
0.064,763.09,4.56,4.56,-1661.4
0.065,762.21,4.57,4.57,-1659.57
0.066,760.77,4.57,4.57,-1657.38
0.067,759.62,4.49,4.5,-1655.21
0.068,761.72,4.53,4.53,-1655.52
0.069,760.41,4.52,4.52,-1654.61
0.07,760.28,4.51,4.51,-1654.01
0.071,760.26,4.53,4.53,-1653.63
0.072,759.28,4.49,4.49,-1652.65
0.073,760.32,4.53,4.53,-1652.88
0.074,758.86,4.51,4.51,-1651.86
0.075,759.13,4.52,4.52,-1651.5
0.076,758.61,4.49,4.49,-1650.87
0.077,759.37,4.49,4.49,-1651.08
0.078,759.76,4.48,4.48,-1651.47
0.079,760.43,4.51,4.51,-1652.21
0.08,759.41,4.53,4.53,-1651.87
0.081,758.33,4.49,4.49,-1650.87
0.082,759.38,4.5,4.5,-1651.1
0.083,759.16,4.49,4.49,-1651.03
0.084,759.74,4.49,4.49,-1651.44
0.085,759.95,4.52,4.52,-1651.82
0.086,758.75,4.5,4.5,-1651.14
0.087,759.2,4.5,4.5,-1651.11
0.088,759.17,4.48,4.48,-1651.05
0.089,760.22,4.49,4.49,-1651.82
0.09,759.83,4.48,4.48,-1651.94
0.091,760.68,4.52,4.52,-1652.69
0.092,759.2,4.53,4.53,-1651.99
0.093,758.41,4.49,4.49,-1651.02
0.094,759.77,4.49,4.49,-1651.49
0.095,759.97,4.51,4.51,-1651.87
0.096,759.24,4.49,4.49,-1651.54
0.097,760.02,4.48,4.48,-1651.97
0.098,760.54,4.48,4.48,-1652.59
0.099,760.86,4.49,4.49,-1653.19
0.1,760.56,4.48,4.48,-1653.32
0.101,761.42,4.52,4.52,-1654.07
0.102,759.94,4.51,4.51,-1653.37
0.103,760.07,4.51,4.51,-1653.11
0.104,759.77,4.49,4.49,-1652.71
0.105,760.33,4.48,4.48,-1652.9
0.106,761.04,4.51,4.51,-1653.53
0.107,760.12,4.46,4.46,-1653.19
0.108,761.98,4.51,4.51,-1654.45
0.109,760.59,4.52,4.52,-1654.07
0.11,759.81,4.48,4.48,-1653.31
0.111,761.44,4.51,4.51,-1654.12
0.112,760.43,4.51,4.51,-1653.77
0.113,760.28,4.49,4.49,-1653.49
0.114,760.75,4.51,4.51,-1653.68
0.115,760.21,4.47,4.47,-1653.36
0.116,761.92,4.5,4.5,-1654.5
0.117,760.93,4.51,4.51,-1654.37
0.118,760.43,4.48,4.48,-1653.95
0.119,761.62,4.51,4.51,-1654.62
0.12,760.54,4.49,4.49,-1654.16
0.121,761.11,4.51,4.51,-1654.36
0.122,760.42,4.51,4.51,-1653.93
0.123,760.21,4.51,4.51,-1653.53
0.124,760.15,4.49,4.49,-1653.25
0.125,760.93,4.49,4.49,-1653.68
0.126,761.14,4.48,4.48,-1654.06
0.127,761.8,4.49,4.49,-1654.8
0.128,761.72,4.49,4.49,-1655.16
0.129,761.61,4.52,4.52,-1655.31
0.13,760.61,4.51,4.51,-1654.64
0.131,760.59,4.49,4.49,-1654.26
0.132,761.47,4.49,4.49,-1654.69
0.133,761.36,4.51,4.51,-1654.84
0.134,760.83,4.5,4.5,-1654.52
0.135,760.99,4.48,4.48,-1654.48
0.136,762.04,4.52,4.52,-1655.24
0.137,760.4,4.49,4.49,-1654.42
0.138,761.57,4.49,4.49,-1654.87
0.139,761.77,4.48,4.48,-1655.26
0.14,762.44,4.47,4.47,-1655.99
0.141,763.13,4.48,4.48,-1656.94
0.142,763.32,4.51,4.51,-1657.64
0.143,762.3,4.49,4.49,-1657.3
0.144,763.08,4.49,4.49,-1657.72
0.145,763.28,4.51,4.51,-1658.1
0.146,762.4,4.49,4.49,-1657.66
0.147,763.28,4.48,4.48,-1658.09
0.148,763.94,4.49,4.49,-1658.83
0.149,763.55,4.51,4.51,-1658.95
0.15,762.86,4.51,4.51,-1658.52
0.151,762.8,4.48,4.48,-1658.24
0.152,764.05,4.5,4.5,-1659.02
0.153,763.34,4.48,4.48,-1658.91
0.154,764.39,4.49,4.49,-1659.68
0.155,764.31,4.49,4.49,-1660.04
0.156,764.51,4.49,4.49,-1660.42
0.157,764.41,4.49,4.49,-1660.57
0.158,764.8,4.48,4.48,-1660.96
0.159,765.47,4.52,4.52,-1661.7
0.16,763.99,4.5,4.5,-1661.0
0.161,764.43,4.53,4.53,-1660.97
0.162,763.32,4.49,4.49,-1660.08
0.163,764.27,4.49,4.49,-1660.31
0.164,764.35,4.53,4.53,-1660.47
0.165,762.89,4.52,4.52,-1659.45
0.166,762.69,4.48,4.48,-1658.73
0.167,764.32,4.51,4.51,-1659.54
0.168,763.31,4.49,4.49,-1659.19
0.169,764.09,4.48,4.48,-1659.62
0.17,764.75,4.5,4.5,-1660.35
0.171,764.05,4.49,4.49,-1660.24
0.172,764.64,4.48,4.48,-1660.65
0.173,765.3,4.52,4.52,-1661.39
0.174,763.82,4.51,4.51,-1660.69
0.175,763.96,4.52,4.52,-1660.43
0.176,763.35,4.52,4.52,-1659.79
0.177,763.02,4.5,4.5,-1659.17
0.178,763.47,4.49,4.49,-1659.15
0.179,763.74,4.52,4.52,-1659.32
0.18,762.74,4.5,4.5,-1658.65
0.181,763.19,4.51,4.51,-1658.63
0.182,762.69,4.49,4.49,-1658.21
0.183,763.57,4.95,4.95,-1658.67
0.184,743.25,4.48,4.48,-1643.39
0.185,756.63,4.5,4.5,-1645.07
0.186,755.93,4.48,4.48,-1644.96
0.187,756.99,4.5,4.5,-1645.73
0.188,756.28,4.48,4.48,-1645.61
0.189,757.33,4.5,4.5,-1646.38
0.19,756.63,4.52,4.52,-1646.27
0.191,755.82,4.48,4.48,-1645.61
0.192,757.35,4.49,4.49,-1646.42
0.193,757.27,4.52,4.52,-1646.78
0.194,756.07,4.45,4.45,-1646.09
0.195,758.69,4.5,4.5,-1647.72
0.196,757.31,4.48,4.48,-1647.56
0.197,758.37,4.5,4.5,-1648.33
0.198,757.66,4.46,4.46,-1648.21
0.199,759.33,4.5,4.5,-1649.45
0.2,758.24,4.49,4.49,-1649.31
0.201,758.52,4.49,4.49,-1649.48
0.202,758.92,4.51,4.51,-1649.88
0.203,758.19,4.48,4.48,-1649.55
0.204,759.43,4.49,4.49,-1650.33
0.205,759.35,4.47,4.47,-1650.69
0.206,760.33,4.48,4.48,-1651.67
0.207,760.51,4.49,4.49,-1652.37
0.208,760.12,4.46,4.46,-1652.49
0.209,761.6,4.48,4.48,-1653.71
0.21,761.59,4.48,4.48,-1654.4
0.211,761.97,4.48,4.48,-1655.11
0.212,762.35,4.5,4.5,-1655.83
0.213,761.65,4.57,4.57,-1655.72
0.214,758.51,4.5,4.5,-1653.29
0.215,760.4,4.47,4.47,-1653.37
0.216,761.76,4.48,4.48,-1654.38
0.217,761.95,4.51,4.51,-1655.08
0.218,760.94,4.47,4.47,-1654.73
0.219,762.65,4.49,4.49,-1655.86
0.22,761.96,4.51,4.51,-1655.97
0.221,761.43,4.5,4.5,-1655.65
0.222,761.59,4.5,4.5,-1655.61
0.223,761.55,4.5,4.5,-1655.54
0.224,761.52,4.52,4.52,-1655.48
0.225,760.71,4.49,4.49,-1654.83
0.226,761.47,4.49,4.49,-1655.04
0.227,761.87,4.51,4.51,-1655.44
0.228,760.98,4.49,4.49,-1654.99
0.229,761.86,4.51,4.51,-1655.43
0.23,761.13,4.48,4.48,-1655.1
0.231,762.38,4.49,4.49,-1655.88
0.232,761.98,4.47,4.47,-1656.0
0.233,763.15,4.49,4.49,-1656.99
0.234,762.87,4.48,4.48,-1657.33
0.235,763.54,4.52,4.52,-1658.07
0.236,762.06,4.47,4.47,-1657.37
0.237,764.06,4.5,4.5,-1658.52
0.238,763.07,4.52,4.52,-1658.39
0.239,762.26,4.49,4.49,-1657.74
0.24,763.01,4.48,4.48,-1657.95
0.241,763.88,4.51,4.51,-1658.7
0.242,762.86,4.49,4.49,-1658.35
0.243,763.64,4.48,4.48,-1658.78
0.244,764.31,4.51,4.51,-1659.51
0.245,763.14,4.51,4.51,-1659.05
0.246,763.08,4.51,4.51,-1658.77
0.247,762.93,4.48,4.48,-1658.49
0.248,764.18,4.49,4.49,-1659.27
0.249,763.78,4.49,4.49,-1659.39
0.25,764.18,4.5,4.5,-1659.79
0.251,763.76,4.52,4.52,-1659.7
0.252,762.95,4.52,4.52,-1659.05
0.253,762.62,4.52,4.52,-1658.43
0.254,762.3,4.51,4.51,-1657.81
0.255,762.43,4.47,4.47,-1657.55
0.256,764.14,4.52,4.52,-1658.68
0.257,762.22,4.52,4.52,-1657.84
0.258,761.99,4.49,4.49,-1657.23
0.259,763.06,4.5,4.5,-1657.68
0.26,762.64,4.52,4.52,-1657.59
0.261,761.83,4.48,4.48,-1656.94
0.262,763.36,4.49,4.49,-1657.74
0.263,763.28,4.51,4.51,-1658.1
0.264,762.4,4.51,4.51,-1657.65
0.265,762.19,4.52,4.52,-1657.26
0.266,761.67,4.49,4.49,-1656.63
0.267,762.74,4.5,4.5,-1657.08
0.268,762.32,4.5,4.5,-1656.99
0.269,762.29,4.49,4.49,-1656.92
0.27,762.56,4.51,4.51,-1657.1
0.271,762.03,4.53,4.53,-1656.79
0.272,760.95,4.49,4.49,-1655.79
0.273,761.99,4.49,4.49,-1656.02
0.274,762.39,4.47,4.47,-1656.42
0.275,763.52,4.51,4.51,-1657.51
0.276,762.22,4.51,4.51,-1657.14
0.277,761.91,4.48,4.48,-1656.74
0.278,763.25,4.5,4.5,-1657.53
0.279,762.55,4.51,4.51,-1657.42
0.28,762.2,4.49,4.49,-1657.12
0.281,762.67,4.49,4.49,-1657.31
0.282,762.76,4.49,4.49,-1657.47
0.283,762.84,4.52,4.52,-1657.63
0.284,761.69,4.49,4.49,-1656.84
0.285,762.85,4.51,4.51,-1657.3
0.286,762.13,4.48,4.48,-1656.97
0.287,763.37,4.51,4.51,-1657.75
0.288,762.36,4.51,4.51,-1657.4
0.289,762.2,4.48,4.48,-1657.12
0.29,763.45,4.51,4.51,-1657.9
0.291,762.43,4.51,4.51,-1657.55
0.292,762.13,4.52,4.52,-1657.15
0.293,761.61,4.48,4.48,-1656.52
0.294,763.14,4.49,4.49,-1657.32
0.295,763.06,4.52,4.52,-1657.68
0.296,761.86,4.51,4.51,-1657.0
0.297,761.85,4.48,4.48,-1656.62
0.298,763.19,4.51,4.51,-1657.4
0.299,762.02,4.48,4.48,-1656.94
0.3,763.36,4.52,4.52,-1657.72
0.301,761.88,4.48,4.48,-1657.02
0.302,763.41,4.51,4.51,-1657.82
0.303,762.24,4.52,4.52,-1657.36
0.304,761.72,4.5,4.5,-1656.73
0.305,762.17,4.52,4.52,-1656.7
0.306,761.36,4.52,4.52,-1656.05
0.307,761.03,4.52,4.52,-1655.43
0.308,760.71,4.47,4.47,-1654.81
0.309,762.7,4.48,4.48,-1655.97
0.31,762.79,4.51,4.51,-1656.66
0.311,761.62,4.5,4.5,-1656.2
0.312,761.88,4.52,4.52,-1656.16
0.313,761.07,4.5,4.5,-1655.51
0.314,761.52,4.5,4.5,-1655.48
0.315,761.49,4.51,4.51,-1655.42
0.316,761.14,4.53,4.53,-1655.12
0.317,760.06,4.49,4.49,-1654.13
0.318,761.11,4.49,4.49,-1654.36
0.319,761.5,4.51,4.51,-1654.76
0.32,760.78,4.5,4.5,-1654.43
0.321,760.94,4.51,4.51,-1654.38
0.322,760.59,4.53,4.53,-1654.09
0.323,759.51,4.49,4.49,-1653.09
0.324,760.56,4.48,4.48,-1653.32
0.325,761.42,4.49,4.49,-1654.07
0.326,761.33,4.46,4.46,-1654.43
0.327,762.62,4.48,4.48,-1655.64
0.328,762.62,4.47,4.47,-1656.33
0.329,763.46,4.48,4.48,-1657.4
0.33,763.4,4.49,4.49,-1657.97
0.331,763.41,4.49,4.49,-1658.34
0.332,763.61,4.5,4.5,-1658.72
0.333,763.19,4.51,4.51,-1658.63
0.334,762.7,4.52,4.52,-1658.22
0.335,762.18,4.51,4.51,-1657.59
0.336,762.31,4.5,4.5,-1657.33
0.337,762.47,4.5,4.5,-1657.28
0.338,762.44,4.51,4.51,-1657.22
0.339,761.94,4.51,4.51,-1656.8
0.34,761.73,4.48,4.48,-1656.41
0.341,762.92,4.47,4.47,-1657.07
0.342,763.71,4.5,4.5,-1658.03
0.343,762.81,4.48,4.48,-1657.91
0.344,763.86,4.5,4.5,-1658.67
0.345,763.16,4.51,4.51,-1658.56
0.346,762.81,4.5,4.5,-1658.26
0.347,762.97,4.48,4.48,-1658.21
0.348,764.02,4.5,4.5,-1658.98
0.349,763.32,4.49,4.49,-1658.87
0.35,763.91,4.51,4.51,-1659.28
0.351,763.18,4.51,4.51,-1658.95
0.352,762.87,4.51,4.51,-1658.55
0.353,762.66,4.48,4.48,-1658.16
0.354,764.0,4.51,4.51,-1658.94
0.355,762.83,4.47,4.47,-1658.48
0.356,764.48,4.47,4.47,-1659.5
0.357,765.14,4.51,4.51,-1660.55
0.358,763.83,4.51,4.51,-1660.18
0.359,763.68,4.53,4.53,-1659.9
0.36,762.6,4.48,4.48,-1658.91
0.361,764.42,4.5,4.5,-1659.73
0.362,763.72,4.48,4.48,-1659.62
0.363,764.77,4.48,4.48,-1660.38
0.364,765.15,4.52,4.52,-1661.1
0.365,763.67,4.52,4.52,-1660.4
0.366,763.19,4.49,4.49,-1659.66
0.367,764.04,4.48,4.48,-1659.88
0.368,764.9,4.47,4.47,-1660.63
0.369,765.74,4.53,4.53,-1661.7
0.37,763.51,4.48,4.48,-1660.62
0.371,765.33,4.51,4.51,-1661.44
0.372,764.16,4.5,4.5,-1660.98
0.373,764.42,4.49,4.49,-1660.94
0.374,765.0,4.51,4.51,-1661.35
0.375,764.28,4.52,4.52,-1661.02
0.376,763.66,4.53,4.53,-1660.38
0.377,762.87,4.5,4.5,-1659.41
0.378,763.61,4.49,4.49,-1659.41
0.379,764.19,4.5,4.5,-1659.82
0.38,763.78,4.53,4.53,-1659.73
0.381,762.5,4.51,4.51,-1658.72
0.382,762.77,4.52,4.52,-1658.36
0.383,762.1,4.53,4.53,-1657.62
0.384,761.4,4.5,4.5,-1656.65
0.385,762.14,4.49,4.49,-1656.65
0.386,762.73,4.48,4.48,-1657.06
0.387,763.39,4.49,4.49,-1657.79
0.388,763.31,4.52,4.52,-1658.16
0.389,762.12,4.52,4.52,-1657.48
0.39,761.79,4.51,4.51,-1656.86
0.391,761.77,4.51,4.51,-1656.48
0.392,761.72,4.51,4.51,-1656.2
0.393,761.57,4.52,4.52,-1655.92
0.394,760.8,4.47,4.47,-1655.16
0.395,762.73,4.48,4.48,-1656.2
0.396,762.92,4.48,4.48,-1656.91
0.397,763.3,4.49,4.49,-1657.62
0.398,762.91,4.49,4.49,-1657.75
0.399,763.3,4.51,4.51,-1658.14
0.4,762.58,4.51,4.51,-1657.82
0.401,762.42,4.49,4.49,-1657.53
0.402,763.2,4.52,4.52,-1657.96
0.403,762.01,4.49,4.49,-1657.28
0.404,762.77,4.52,4.52,-1657.49
0.405,761.77,4.49,4.49,-1656.82
0.406,762.84,4.51,4.51,-1657.27
0.407,762.11,4.5,4.5,-1656.94
0.408,762.27,4.49,4.49,-1656.89
0.409,762.86,4.53,4.53,-1657.3
0.41,761.36,4.51,4.51,-1656.39
0.411,761.68,4.48,4.48,-1656.14
0.412,762.93,4.51,4.51,-1656.92
0.413,761.91,4.47,4.47,-1656.57
0.414,763.62,4.5,4.5,-1657.7
0.415,762.63,4.49,4.49,-1657.57
0.416,763.22,4.49,4.49,-1657.98
0.417,763.42,4.48,4.48,-1658.36
0.418,764.09,4.48,4.48,-1659.1
0.419,764.47,4.49,4.49,-1659.81
0.42,764.07,4.48,4.48,-1659.94
0.421,764.93,4.51,4.51,-1660.69
