Time,U,Y,X1,X2
0.0,4.49,4.49,-1655.48,0.0
0.001,0.0,0.0,0.0,0.0
0.002,76.36,0.0,0.0,-142.1
0.003,151.86,0.0,0.0,-284.28
0.004,227.36,0.03,0.03,-426.46
0.005,301.43,0.22,0.22,-567.55
0.006,367.94,0.38,0.38,-702.28
0.007,432.72,0.65,0.65,-832.09
0.008,489.78,0.96,0.96,-953.06
0.009,540.93,1.19,1.19,-1064.39
0.01,590.01,1.47,1.47,-1168.45
0.011,633.31,1.73,1.73,-1263.69
0.012,672.61,2.0,2.0,-1350.68
0.013,707.15,2.26,2.26,-1429.12
0.014,737.6,2.47,2.47,-1499.35
0.015,765.83,2.73,2.73,-1563.0
0.016,788.53,2.94,2.94,-1618.45
0.017,809.02,3.12,3.12,-1667.4
0.018,827.29,3.3,3.3,-1710.72
0.019,842.56,3.5,3.5,-1748.37
0.02,853.6,3.64,3.64,-1779.42
0.021,864.44,3.76,3.76,-1806.42
0.022,873.5,3.93,3.93,-1829.57
0.023,878.2,4.04,4.04,-1847.09
0.024,882.9,4.14,4.14,-1861.31
0.025,886.09,4.26,4.26,-1872.34
0.026,887.1,4.34,4.34,-1879.81
0.027,887.63,4.44,4.44,-1884.8
0.028,886.03,4.51,4.51,-1886.64
0.029,883.86,4.53,4.53,-1886.21
0.03,882.94,4.58,4.58,-1885.34
0.031,880.16,4.66,4.66,-1882.73
0.032,875.42,4.68,4.68,-1877.63
0.033,871.7,4.72,4.72,-1871.86
0.034,866.8,4.72,4.72,-1864.71
0.035,863.05,4.79,4.79,-1857.65
0.036,856.34,4.79,4.79,-1848.34
0.037,851.31,4.83,4.83,-1839.05
0.038,844.82,4.83,4.83,-1828.58
0.039,839.3,4.81,4.81,-1818.17
0.04,834.71,4.81,4.81,-1808.48
0.041,829.39,4.8,4.8,-1798.63
0.042,824.63,4.8,4.8,-1789.14
0.043,819.58,4.83,4.83,-1779.63
0.044,813.28,4.81,4.81,-1769.18
0.045,808.54,4.79,4.79,-1759.37
0.046,804.24,4.77,4.77,-1750.23
0.047,800.15,4.74,4.74,-1741.65
0.048,797.13,4.75,4.75,-1734.21
0.049,792.68,4.76,4.76,-1726.35
0.05,788.05,4.7,4.7,-1718.16
0.051,786.2,4.72,4.72,-1711.88
0.052,781.87,4.72,4.72,-1704.78
0.053,778.27,4.69,4.69,-1697.84
0.054,775.83,4.68,4.68,-1691.83
0.055,773.08,4.69,4.69,-1686.13
0.056,769.57,4.65,4.65,-1680.05
0.057,768.06,4.65,4.65,-1675.29
0.058,765.8,4.62,4.62,-1670.69
0.059,764.6,4.62,4.62,-1667.02
0.06,762.31,4.58,4.58,-1663.06
0.061,762.23,4.59,4.59,-1660.65
0.062,760.59,4.57,4.57,-1657.91
0.063,759.92,4.54,4.54,-1655.77
0.064,759.85,4.53,4.53,-1654.43
0.065,759.89,4.53,4.53,-1653.63
0.066,759.44,4.53,4.53,-1652.79
0.067,759.0,4.51,4.51,-1651.95
0.068,759.17,4.52,4.52,-1651.59
0.069,758.65,4.51,4.51,-1650.95
0.07,758.64,4.53,4.53,-1650.57
0.071,757.81,4.51,4.51,-1649.71
0.072,758.14,4.51,4.51,-1649.46
0.073,757.83,4.51,4.51,-1649.06
0.074,757.62,4.49,4.49,-1648.66
0.075,758.19,4.48,4.48,-1648.86
0.076,759.05,4.49,4.49,-1649.61
0.077,758.65,4.5,4.5,-1649.73
0.078,758.43,4.47,4.47,-1649.66
0.079,759.79,4.46,4.46,-1650.66
0.08,760.6,4.48,4.48,-1651.83
0.081,760.59,4.51,4.51,-1652.52
0.082,759.42,4.49,4.49,-1652.05
0.083,759.99,4.52,4.52,-1652.25
0.084,758.99,4.5,4.5,-1651.58
0.085,759.44,4.47,4.47,-1651.56
0.086,760.8,4.49,4.49,-1652.56
0.087,760.21,4.48,4.48,-1652.67
0.088,760.92,4.46,4.46,-1653.3
0.089,762.01,4.5,4.5,-1654.49
0.09,760.92,4.48,4.48,-1654.35
0.091,761.97,4.5,4.5,-1655.12
0.092,761.27,4.48,4.48,-1655.01
0.093,762.32,4.48,4.48,-1655.77
0.094,762.54,4.5,4.5,-1656.37
0.095,761.94,4.49,4.49,-1656.26
0.096,762.21,4.47,4.47,-1656.44
0.097,763.54,4.49,4.49,-1657.54
0.098,763.16,4.49,4.49,-1657.88
0.099,763.37,4.5,4.5,-1658.26
0.1,762.95,4.49,4.49,-1658.17
0.101,763.54,4.49,4.49,-1658.58
0.102,763.43,4.48,4.48,-1658.73
0.103,764.29,4.51,4.51,-1659.48
0.104,763.27,4.5,4.5,-1659.13
0.105,763.43,4.49,4.49,-1659.09
0.106,763.71,4.49,4.49,-1659.26
0.107,764.11,4.49,4.49,-1659.66
0.108,764.0,4.51,4.51,-1659.8
0.109,763.46,3.43,3.43,-1659.49
0.11,810.96,4.48,4.48,-1695.44
0.111,782.64,4.53,4.53,-1694.07
0.112,780.71,4.49,4.49,-1693.01
0.113,781.76,4.53,4.53,-1693.24
0.114,780.45,4.51,4.51,-1692.34
0.115,780.62,4.56,4.56,-1691.97
0.116,778.39,4.56,4.56,-1690.04
0.117,777.42,4.56,4.56,-1688.21
0.118,776.29,4.56,4.56,-1686.25
0.119,775.25,4.54,4.54,-1684.3
0.12,775.31,4.53,4.53,-1683.18
0.121,775.15,4.56,4.56,-1682.37
0.122,773.15,4.54,4.54,-1680.35
0.123,772.89,4.58,4.58,-1678.99
0.124,770.76,4.57,4.57,-1676.53
0.125,769.95,4.54,4.54,-1674.5
0.126,769.95,4.54,4.54,-1673.26
0.127,769.42,4.56,4.56,-1672.1
0.128,767.87,4.56,4.56,-1670.22
0.129,766.89,4.53,4.53,-1668.38
0.13,767.16,4.52,4.52,-1667.49
0.131,767.12,4.53,4.53,-1666.9
0.132,766.33,4.51,4.51,-1665.92
0.133,766.6,4.52,4.52,-1665.57
0.134,765.92,4.54,4.54,-1664.82
0.135,764.61,4.53,4.53,-1663.38
0.136,764.64,4.54,4.54,-1662.58
0.137,763.73,4.52,4.52,-1661.39
0.138,763.89,4.49,4.49,-1660.81
0.139,764.64,4.51,4.51,-1661.02
0.14,763.95,4.52,4.52,-1660.59
0.141,763.43,4.52,4.52,-1659.96
0.142,763.11,4.49,4.49,-1659.34
0.143,763.86,4.48,4.48,-1659.55
0.144,764.72,4.54,4.54,-1660.3
0.145,762.47,4.53,4.53,-1659.01
0.146,762.16,4.48,4.48,-1658.07
0.147,763.98,4.51,4.51,-1658.89
0.148,762.96,4.5,4.5,-1658.55
0.149,763.12,4.48,4.48,-1658.5
0.15,764.17,4.52,4.52,-1659.26
0.151,762.69,4.5,4.5,-1658.56
0.152,763.14,4.53,4.53,-1658.54
0.153,761.87,4.51,4.51,-1657.53
0.154,762.3,4.51,4.51,-1657.29
0.155,762.14,4.51,4.51,-1657.01
0.156,761.99,4.48,4.48,-1656.72
0.157,763.24,4.48,4.48,-1657.5
0.158,763.62,4.5,4.5,-1658.21
0.159,762.91,4.49,4.49,-1658.1
0.16,763.5,4.52,4.52,-1658.51
0.161,762.31,4.51,4.51,-1657.83
0.162,762.29,4.53,4.53,-1657.45
