Time,U,Y,X1,X2
0.0,1.99,1.99,-536.31,0.0
0.001,0.0,0.0,0.0,0.0
0.002,33.94,0.0,0.0,0.0
0.003,67.87,0.0,0.0,-63.14
0.004,101.42,0.0,0.0,-127.05
0.005,134.97,0.12,0.12,-190.29
0.006,163.41,0.24,0.24,-259.07
0.007,189.35,0.37,0.37,-318.99
0.008,213.05,0.53,0.53,-374.3
0.009,233.24,0.69,0.68,-426.82
0.01,251.12,0.84,0.84,-472.37
0.011,266.2,0.98,0.98,-513.84
0.012,279.35,1.14,1.13,-549.26
0.013,289.7,1.27,1.27,-581.5
0.014,298.03,1.4,1.4,-607.9
0.015,304.41,1.53,1.53,-630.07
0.016,308.8,1.63,1.63,-648.34
0.017,312.24,1.74,1.74,-661.59
0.018,313.39,1.83,1.83,-673.65
0.019,313.92,1.92,1.92,-680.05
0.02,312.76,1.98,1.98,-685.53
0.021,311.5,2.05,2.05,-686.28
0.022,308.65,2.1,2.1,-687.45
0.023,305.54,2.15,2.15,-684.65
0.024,301.75,2.19,2.19,-681.1
0.025,297.49,2.21,2.21,-675.94
0.026,293.36,2.26,2.26,-669.02
0.027,287.78,2.24,2.24,-663.49
0.028,284.23,2.28,2.28,-652.22
0.029,278.35,2.3,2.3,-647.54
0.03,272.95,2.29,2.29,-637.24
0.031,268.45,2.28,2.28,-626.56
0.032,263.83,2.28,2.28,-617.88
0.033,259.25,2.26,2.26,-609.0
0.034,255.37,2.26,2.26,-599.51
0.035,251.01,2.21,2.21,-592.15
0.036,248.69,2.24,2.23,-581.72
0.037,244.18,2.2,2.2,-578.28
0.038,241.63,2.2,2.2,-568.32
0.039,238.41,2.18,2.18,-563.25
0.04,235.69,2.16,2.16,-556.51
0.041,233.55,2.15,2.15,-550.32
0.042,231.62,2.13,2.13,-545.39
0.043,229.82,2.12,2.12,-541.02
0.044,228.27,2.1,2.1,-536.93
0.045,226.96,2.08,2.08,-533.28
0.046,226.05,2.07,2.07,-529.93
0.047,225.13,2.06,2.06,-527.67
0.048,224.55,2.05,2.05,-525.23
0.049,224.05,2.02,2.02,-523.57
0.05,224.53,2.01,2.01,-521.24
0.051,224.4,2.01,2.01,-521.92
0.052,224.46,2.0,2.0,-521.33
0.053,224.66,1.99,1.99,-521.09
0.054,225.14,1.99,1.99,-520.92
0.055,225.32,1.98,1.98,-521.8
0.056,225.97,1.98,1.98,-521.63
0.057,226.34,1.97,1.97,-522.83
0.058,227.01,1.97,1.97,-523.18
0.059,227.66,1.97,1.97,-524.27
0.06,228.05,1.97,1.97,-525.66
0.061,228.68,1.97,1.97,-526.22
0.062,229.23,1.97,1.97,-527.41
0.063,229.77,1.97,1.97,-528.44
0.064,230.16,1.97,1.97,-529.63
0.065,230.79,1.97,1.97,-530.19
0.066,231.34,1.97,1.97,-531.38
0.067,231.88,1.98,1.98,-532.42
0.068,231.95,1.97,1.97,-533.96
0.069,232.62,1.97,1.97,-533.75
0.07,233.11,1.96,1.96,-534.99
0.071,233.91,1.98,1.98,-535.58
0.072,233.88,1.98,1.98,-537.77
0.073,234.07,1.98,1.98,-537.92
0.074,234.37,1.98,1.98,-538.27
0.075,234.67,1.99,1.99,-538.84
0.076,234.49,1.99,1.99,-539.92
0.077,234.76,1.99,1.99,-539.44
0.078,234.78,1.99,1.99,-540.1
0.079,234.89,1.99,1.99,-540.15
0.08,235.17,2.0,2.0,-540.19
0.081,234.87,2.0,2.0,-541.23
0.082,234.86,2.0,2.0,-540.69
0.083,234.85,1.99,1.99,-540.65
0.084,235.17,2.0,2.0,-540.31
0.085,234.81,2.0,2.0,-541.4
0.086,234.89,2.0,2.0,-540.58
0.087,234.73,2.0,2.0,-540.9
0.088,234.82,2.0,2.0,-540.43
0.089,234.82,2.01,2.01,-540.59
0.09,234.5,2.01,2.01,-540.94
0.091,234.36,2.0,2.0,-540.34
0.092,234.4,2.01,2.01,-539.91
0.093,234.17,2.0,2.0,-540.14
0.094,234.36,2.01,2.01,-539.39
0.095,234.04,2.01,2.01,-540.07
0.096,233.91,2.01,2.01,-539.49
0.097,233.78,2.0,2.0,-539.23
0.098,233.97,2.0,2.0,-538.64
0.099,233.97,2.0,2.0,-538.99
0.1,233.97,2.0,2.0,-539.0
0.101,233.8,2.0,2.0,-539.15
0.102,233.89,2.0,2.0,-538.68
0.103,233.89,2.0,2.0,-538.84
0.104,233.88,1.99,1.99,-538.83
0.105,234.2,2.01,2.01,-538.48
0.106,233.68,2.0,2.0,-539.74
0.107,233.86,2.0,2.0,-538.46
0.108,233.86,1.99,1.99,-538.77
0.109,234.17,2.0,2.0,-538.44
0.11,233.98,2.0,2.0,-539.36
0.111,233.96,2.0,2.0,-539.0
0.112,233.96,2.0,2.0,-538.97
0.113,233.95,2.0,2.0,-538.97
0.114,233.79,2.0,2.0,-539.13
0.115,233.88,2.0,2.0,-538.65
0.116,233.88,1.99,1.99,-538.81
0.117,234.19,2.01,2.01,-538.47
0.118,233.67,2.0,2.0,-539.73
0.119,233.85,2.0,2.0,-538.45
0.12,233.86,2.01,2.01,-538.76
0.121,233.53,2.0,2.0,-539.12
0.122,233.56,2.0,2.0,-538.34
0.123,233.65,2.0,2.0,-538.21
0.124,233.49,2.0,2.0,-538.56
0.125,233.58,1.99,1.99,-538.09
0.126,233.9,2.0,2.0,-537.9
0.127,233.54,2.0,2.0,-539.01
0.128,233.62,2.0,2.0,-538.19
0.129,233.46,2.0,2.0,-538.5
0.13,233.55,2.0,2.0,-538.04
0.131,233.39,2.0,2.0,-538.37
0.132,233.48,2.0,2.0,-537.9
0.133,233.48,2.0,2.0,-538.06
0.134,233.47,1.99,1.99,-538.06
0.135,233.78,1.99,1.99,-537.69
0.136,234.22,2.0,2.0,-537.93
0.137,233.83,2.0,2.0,-539.44
0.138,233.81,2.0,2.0,-538.73
0.139,233.81,1.99,1.99,-538.68
0.14,234.12,2.0,2.0,-538.33
0.141,233.92,1.99,1.99,-539.25
0.142,234.23,2.0,2.0,-538.56
0.143,234.03,2.0,2.0,-539.46
0.144,234.02,2.0,2.0,-539.11
0.145,234.02,2.0,2.0,-539.08
0.146,234.01,2.0,2.0,-539.08
0.147,233.85,2.0,2.0,-539.24
0.148,233.94,2.01,2.01,-538.77
0.149,233.62,2.01,2.01,-539.27
0.15,233.48,2.01,2.01,-538.69
0.151,233.36,2.0,2.0,-538.43
0.152,233.55,2.0,2.0,-537.84
0.153,233.55,2.0,2.0,-538.19
0.154,233.38,2.0,2.0,-538.37
0.155,233.47,1.62,1.62,-537.71
0.156,250.34,2.0,2.0,-519.72
0.157,240.19,2.0,2.0,-569.04
0.158,239.79,2.01,2.01,-550.93
0.159,239.57,2.02,2.02,-550.3
0.16,238.97,2.01,2.01,-550.43
0.161,238.81,2.02,2.02,-549.13
0.162,238.41,2.01,2.01,-548.99
0.163,238.25,2.02,2.02,-548.07
0.164,237.85,2.02,2.02,-547.95
0.165,237.53,2.02,2.02,-547.19
0.166,237.23,2.02,2.02,-546.6
0.167,236.92,2.02,2.02,-546.02
0.168,236.61,2.02,2.02,-545.43
0.169,236.3,2.02,2.02,-544.85
0.17,235.99,2.02,2.02,-544.27
0.171,235.68,2.02,2.02,-543.68
0.172,235.36,2.02,2.02,-543.1
0.173,235.05,2.02,2.02,-542.51
0.174,234.74,2.01,2.01,-541.93
0.175,234.59,2.02,2.02,-541.17
0.176,234.03,2.01,2.01,-541.23
0.177,233.97,2.01,2.01,-539.83
0.178,233.73,2.01,2.01,-539.7
0.179,233.48,2.01,2.01,-539.25
0.18,233.23,2.01,2.01,-538.78
0.181,232.98,2.01,2.01,-538.31
0.182,232.73,2.0,2.0,-537.83
0.183,232.96,2.01,2.01,-536.85
0.184,232.58,2.0,2.0,-537.6
0.185,232.86,2.0,2.0,-536.39
0.186,232.71,1.99,1.99,-537.06
0.187,233.11,2.0,2.0,-536.27
0.188,232.92,2.0,2.0,-537.36
0.189,232.9,2.01,2.01,-537.01
0.19,232.58,2.0,2.0,-537.33
0.191,232.77,2.0,2.0,-536.39
0.192,232.77,2.0,2.0,-536.72
0.193,232.76,2.0,2.0,-536.73
0.194,232.76,2.0,2.0,-536.71
0.195,232.59,2.0,2.0,-536.88
0.196,232.68,1.99,1.99,-536.4
0.197,233.0,1.99,1.99,-536.21
0.198,233.12,2.0,2.0,-536.8
0.199,232.91,1.99,1.99,-537.37
0.2,233.22,2.0,2.0,-536.66
0.201,233.03,2.0,2.0,-537.57
0.202,233.01,1.99,1.99,-537.21
0.203,233.33,2.0,2.0,-536.84
0.204,233.13,2.0,2.0,-537.77
0.205,233.12,2.0,2.0,-537.41
0.206,233.12,1.99,1.99,-537.38
0.207,233.43,2.0,2.0,-537.03
0.208,233.23,2.0,2.0,-537.95
0.209,233.22,2.0,2.0,-537.6
0.21,233.22,2.0,2.0,-537.57
0.211,233.21,2.0,2.0,-537.57
0.212,233.2,2.0,2.0,-537.56
0.213,233.2,2.0,2.0,-537.54
0.214,233.19,2.01,2.01,-537.54
0.215,232.87,2.0,2.0,-537.87
0.216,233.05,2.0,2.0,-536.93
0.217,233.06,2.0,2.0,-537.26
0.218,233.05,2.02,2.02,-537.27
0.219,232.25,2.0,2.0,-538.12
0.22,232.72,2.0,2.0,-535.78
0.221,232.73,2.0,2.0,-536.62
0.222,232.72,2.0,2.0,-536.66
0.223,232.72,2.0,2.0,-536.64
0.224,232.71,2.0,2.0,-536.62
0.225,232.7,2.0,2.0,-536.61
0.226,232.7,2.0,2.0,-536.6
0.227,232.69,1.99,1.99,-536.59
0.228,233.01,2.0,2.0,-536.24
0.229,232.81,1.99,1.99,-537.15
0.23,233.11,1.99,1.99,-536.46
0.231,233.24,2.0,2.0,-537.02
0.232,233.03,1.99,1.99,-537.6
0.233,233.34,1.98,1.98,-536.87
0.234,234.1,2.0,2.0,-536.75
0.235,233.51,1.99,1.99,-539.2
0.236,233.81,2.0,2.0,-537.8
0.237,233.62,2.0,2.0,-538.67
0.238,233.44,2.0,2.0,-538.5
0.239,233.54,2.0,2.0,-538.01
0.24,233.54,1.99,1.99,-538.17
0.241,233.85,2.01,2.01,-537.83
0.242,233.33,2.0,2.0,-539.09
0.243,233.51,2.0,2.0,-537.8
0.244,233.51,2.0,2.0,-538.12
0.245,233.35,2.0,2.0,-538.3
0.246,233.44,2.0,2.0,-537.82
0.247,233.43,2.0,2.0,-537.98
0.248,233.27,2.0,2.0,-538.15
0.249,233.2,2.0,2.0,-537.85
0.25,233.29,2.0,2.0,-537.54
0.251,233.13,2.0,2.0,-537.89
0.252,233.06,2.0,2.0,-537.59
0.253,233.15,2.0,2.0,-537.28
0.254,233.15,2.0,2.0,-537.45
0.255,233.15,2.01,2.01,-537.45
0.256,232.82,1.99,1.99,-537.78
0.257,233.33,1.99,1.99,-536.49
0.258,233.45,2.01,2.01,-537.41
0.259,232.93,2.0,2.0,-538.35
0.26,233.11,2.0,2.0,-537.05
0.261,233.11,1.99,1.99,-537.36
0.262,233.42,2.0,2.0,-537.03
0.263,233.23,1.99,1.99,-537.94
0.264,233.53,2.0,2.0,-537.25
0.265,233.34,2.0,2.0,-538.15
0.266,233.32,1.99,1.99,-537.8
0.267,233.64,2.0,2.0,-537.43
0.268,233.44,2.0,2.0,-538.35
0.269,233.43,2.0,2.0,-538.0
0.27,233.43,2.0,2.0,-537.97
0.271,233.26,2.0,2.0,-538.14
0.272,233.35,2.0,2.0,-537.66
0.273,233.35,2.0,2.0,-537.82
0.274,233.34,2.0,2.0,-537.82
0.275,233.34,2.0,2.0,-537.81
0.276,233.33,2.0,2.0,-537.8
0.277,233.33,2.0,2.0,-537.79
0.278,233.16,2.0,2.0,-537.95
0.279,233.25,2.0,2.0,-537.47
0.28,233.25,2.0,2.0,-537.63
0.281,233.08,1.99,1.99,-537.8
0.282,233.49,2.0,2.0,-536.98
0.283,233.3,2.0,2.0,-538.07
0.284,233.28,2.0,2.0,-537.73
0.285,233.28,2.0,2.0,-537.7
0.286,233.12,2.0,2.0,-537.86
0.287,233.21,2.0,2.0,-537.39
0.288,233.04,2.0,2.0,-537.72
0.289,233.13,2.0,2.0,-537.25
0.29,233.13,2.0,2.0,-537.41
0.291,233.13,2.0,2.0,-537.41
0.292,232.96,2.0,2.0,-537.57
0.293,233.05,2.0,2.0,-537.09
0.294,233.05,2.0,2.0,-537.25
0.295,233.04,2.0,2.0,-537.25
0.296,232.88,2.0,2.0,-537.41
0.297,232.97,1.99,1.99,-536.93
0.298,233.28,2.0,2.0,-536.75
0.299,232.93,2.0,2.0,-537.85
0.3,233.01,1.99,1.99,-537.03
0.301,233.33,2.0,2.0,-536.83
0.302,233.13,2.0,2.0,-537.76
0.303,233.12,2.0,2.0,-537.41
0.304,233.11,2.0,2.0,-537.38
0.305,233.11,2.0,2.0,-537.37
0.306,233.1,2.0,2.0,-537.36
0.307,233.1,1.99,1.99,-537.35
0.308,233.41,1.99,1.99,-536.99
0.309,233.53,2.0,2.0,-537.57
0.31,233.33,2.0,2.0,-538.15
0.311,233.32,2.01,2.01,-537.78
0.312,232.99,2.0,2.0,-538.1
0.313,233.18,2.0,2.0,-537.16
0.314,233.18,2.0,2.0,-537.49
0.315,233.17,2.0,2.0,-537.5
0.316,233.17,2.0,2.0,-537.49
0.317,233.16,2.02,2.02,-537.48
0.318,232.36,2.0,2.0,-538.33
0.319,232.83,2.0,2.0,-535.99
0.32,232.85,2.0,2.0,-536.83
0.321,232.83,2.0,2.0,-536.87
0.322,232.83,2.0,2.0,-536.85
0.323,232.82,2.0,2.0,-536.84
0.324,232.82,2.0,2.0,-536.83
0.325,232.81,2.0,2.0,-536.82
0.326,232.81,1.99,1.99,-536.8
0.327,233.12,1.99,1.99,-536.45
0.328,233.24,2.0,2.0,-537.03
0.329,233.04,2.0,2.0,-537.6
0.33,233.03,2.0,2.0,-537.23
0.331,233.02,1.99,1.99,-537.21
0.332,233.34,1.99,1.99,-536.85
0.333,233.46,2.0,2.0,-537.43
0.334,233.25,2.0,2.0,-538.01
0.335,233.24,2.0,2.0,-537.64
0.336,233.24,2.0,2.0,-537.61
0.337,233.23,1.99,1.99,-537.6
0.338,233.55,1.99,1.99,-537.25
0.339,233.67,2.0,2.0,-537.83
0.34,233.46,2.0,2.0,-538.41
0.341,233.45,2.0,2.0,-538.04
0.342,233.29,2.0,2.0,-538.18
0.343,233.38,2.01,2.01,-537.72
0.344,232.74,2.0,2.0,-538.57
0.345,232.96,2.0,2.0,-536.87
0.346,233.06,2.0,2.0,-537.08
0.347,233.06,2.0,2.0,-537.27
0.348,233.05,2.0,2.0,-537.27
0.349,232.88,2.0,2.0,-537.43
0.35,232.97,2.0,2.0,-536.95
0.351,232.97,1.63,1.64,-536.94
0.352,350.83,2.0,2.0,-519.66
0.353,442.98,2.05,2.05,-756.05
0.354,541.01,2.14,2.14,-932.98
0.355,637.06,2.28,2.28,-1121.72
0.356,729.03,2.47,2.47,-1309.69
0.357,816.69,2.69,2.69,-1492.11
0.358,899.85,2.93,2.93,-1667.96
0.359,978.0,3.21,3.21,-1836.85
0.36,1050.81,3.48,3.48,-1997.64
0.361,1119.19,3.76,3.76,-2148.16
0.362,1182.46,4.04,4.04,-2290.97
0.363,1241.13,4.32,4.32,-2424.0
0.364,1295.25,4.61,4.61,-2548.2
0.365,1344.25,4.85,4.85,-2664.34
0.366,1390.52,5.09,5.09,-2768.56
0.367,1432.46,5.32,5.32,-2867.93
0.368,1471.25,5.55,5.55,-2958.05
0.369,1506.08,5.75,5.75,-3042.43
0.37,1538.42,5.95,5.95,-3117.9
0.371,1567.22,6.11,6.11,-3188.82
0.372,1594.31,6.27,6.27,-3251.28
0.373,1619.26,6.41,6.41,-3309.76
0.374,1641.79,6.56,6.56,-3364.09
0.375,1661.8,6.69,6.69,-3413.91
0.376,1680.24,6.8,6.8,-3457.93
0.377,1697.52,6.91,6.91,-3497.92
0.378,1712.85,6.99,7.0,-3535.9
0.379,1727.3,7.08,7.08,-3569.14
0.38,1740.27,7.16,7.16,-3600.7
0.381,1752.08,7.17,7.17,-3629.12
0.382,1765.75,7.3,7.3,-3651.89
0.383,1774.07,7.35,7.35,-3683.73
0.384,1783.52,7.4,7.41,-3702.08
0.385,1792.03,7.45,7.45,-3722.53
0.386,1799.95,7.5,7.5,-3740.91
0.387,1806.9,7.53,7.54,-3758.33
0.388,1813.84,7.57,7.57,-3773.01
0.389,1819.93,7.6,7.6,-3788.02
0.39,1825.86,7.63,7.63,-3800.87
0.391,1831.16,7.68,7.68,-3813.6
0.392,1835.39,7.7,7.71,-3825.72
0.393,1839.58,7.72,7.73,-3835.1
0.394,1843.67,7.74,7.74,-3843.98
0.395,1847.77,7.75,7.75,-3852.28
0.396,1851.5,7.78,7.78,-3860.79
0.397,1854.61,7.8,7.8,-3868.99
0.398,1857.48,7.79,7.79,-3875.82
0.399,1861.07,7.8,7.8,-3881.07
0.4,1864.23,7.83,7.83,-3888.22
0.401,1866.35,7.83,7.83,-3895.51
0.402,1869.04,7.84,7.85,-3899.76
0.403,1871.34,7.85,7.85,-3905.4
0.404,1873.78,7.85,7.85,-3909.95
0.405,1876.16,7.87,7.87,-3914.74
0.406,1877.76,7.88,7.89,-3920.18
0.407,1879.37,7.88,7.88,-3923.81
0.408,1881.49,7.89,7.89,-3926.66
0.409,1883.15,7.89,7.89,-3931.02
0.41,1884.85,7.89,7.89,-3934.37
0.411,1886.66,7.9,7.91,-3937.57
0.412,1887.94,7.9,7.91,-3941.56
0.413,1889.54,7.92,7.92,-3944.0
0.414,1890.62,7.92,7.92,-3947.59
0.415,1891.84,7.92,7.92,-3949.84
0.416,1893.18,7.93,7.93,-3952.14
0.417,1894.17,7.93,7.93,-3955.05
0.418,1895.36,7.93,7.93,-3956.92
0.419,1896.57,7.95,7.95,-3959.18
0.42,1896.89,7.93,7.93,-3962.4
0.421,1898.45,7.94,7.94,-3962.27
0.422,1899.24,7.94,7.94,-3965.55
0.423,1900.23,7.94,7.94,-3967.08
0.424,1901.24,7.94,7.94,-3968.94
0.425,1902.24,7.95,7.95,-3970.83
0.426,1902.88,7.95,7.95,-3973.09
0.427,1903.74,7.95,7.95,-3974.33
0.428,1904.61,7.95,7.95,-3975.94
0.429,1905.47,7.96,7.96,-3977.57
0.43,1905.98,7.96,7.96,-3979.59
0.431,1906.7,7.96,7.96,-3980.56
0.432,1907.43,7.96,7.97,-3981.92
0.433,1907.81,7.96,7.97,-3983.68
0.434,1908.39,7.96,7.97,-3984.41
0.435,1908.99,7.96,7.96,-3985.5
0.436,1909.94,7.96,7.97,-3986.24
0.437,1910.32,7.96,7.97,-3988.4
0.438,1910.9,7.97,7.98,-3989.14
0.439,1911.14,7.97,7.98,-3990.62
0.44,1911.6,7.97,7.98,-3991.09
0.441,1912.05,7.96,7.97,-3991.93
0.442,1912.87,7.96,7.97,-3992.41
0.443,1913.47,7.96,7.97,-3993.92
0.444,1914.06,7.97,7.98,-3995.06
0.445,1914.3,7.96,7.97,-3996.56
0.446,1915.1,7.98,7.98,-3996.64
