Time,U,Y,X1,X2
0.0,4.51,5.13,-1688.86,0.0
0.001,0.0,0.0,0.0,0.0
0.002,76.36,0.0,0.06,-142.1
0.003,150.17,0.0,0.15,-284.15
0.004,223.39,0.06,0.25,-426.16
0.005,294.97,0.21,0.37,-566.1
0.006,363.56,0.4,0.51,-701.34
0.007,428.53,0.65,0.66,-830.57
0.008,488.89,0.9,0.82,-951.78
0.009,544.9,1.18,1.0,-1065.32
0.01,595.9,1.46,1.17,-1169.87
0.011,642.08,1.72,1.35,-1265.66
0.012,683.82,1.99,1.54,-1353.28
0.013,720.81,2.25,1.72,-1432.12
0.014,753.54,2.48,1.91,-1502.96
0.015,782.3,2.74,2.09,-1566.32
0.016,806.86,2.95,2.27,-1621.7
0.017,827.89,3.14,2.45,-1670.25
0.018,845.94,3.29,2.62,-1713.02
0.019,861.52,3.5,2.79,-1750.91
0.02,873.62,3.65,2.95,-1782.05
0.021,883.44,3.83,3.11,-1808.54
0.022,890.41,3.96,3.26,-1829.41
0.023,895.47,4.1,3.4,-1846.32
0.024,898.24,4.2,3.53,-1858.59
0.025,899.58,4.33,3.66,-1867.79
0.026,898.87,4.38,3.78,-1872.79
0.027,897.56,4.45,3.9,-1876.26
0.028,895.26,4.51,4.0,-1877.52
0.029,892.2,4.58,4.1,-1877.02
0.03,888.15,4.64,4.19,-1874.32
0.031,883.35,4.7,4.28,-1869.85
0.032,877.6,4.72,4.36,-1863.29
0.033,871.7,4.74,4.43,-1856.07
0.034,865.66,4.8,4.5,-1848.31
0.035,858.77,4.8,4.56,-1838.66
0.036,852.06,4.82,4.62,-1829.03
0.037,845.19,4.84,4.67,-1818.85
0.038,838.17,4.82,4.71,-1808.12
0.039,831.58,4.83,4.76,-1797.96
0.04,824.94,4.81,4.79,-1787.48
0.041,818.71,4.83,4.83,-1777.56
0.042,812.28,4.8,4.85,-1767.09
0.043,806.44,4.79,4.88,-1757.52
0.044,800.81,4.8,4.9,-1748.18
0.045,795.13,4.76,4.92,-1738.63
0.046,790.27,4.74,4.94,-1730.41
0.047,785.75,4.76,4.96,-1722.76
0.048,781.05,4.71,4.97,-1714.67
0.049,777.2,4.72,4.98,-1708.03
0.05,773.14,4.69,4.99,-1700.94
