Time,U,Y,X1,X2
0.0,4.53,5.14,-1693.3,0.0
0.001,0.0,0.0,0.0,0.0
0.002,76.36,0.0,0.06,-142.1
0.003,150.17,0.0,0.15,-284.15
0.004,223.39,0.05,0.25,-426.16
0.005,295.17,0.21,0.37,-566.48
0.006,363.82,0.39,0.51,-701.84
0.007,428.99,0.67,0.66,-831.45
0.008,489.08,0.91,0.82,-952.17
0.009,544.9,1.17,1.0,-1065.35
0.01,596.03,1.43,1.17,-1170.13
0.011,642.72,1.72,1.36,-1266.86
0.012,684.37,2.0,1.54,-1354.36
0.013,721.18,2.26,1.72,-1432.86
0.014,753.66,2.5,1.91,-1503.25
0.015,782.19,2.71,2.09,-1566.16
0.016,807.12,2.94,2.27,-1622.21
0.017,828.37,3.16,2.45,-1671.21
0.018,845.94,3.3,2.62,-1713.09
0.019,861.3,3.48,2.79,-1750.53
0.02,873.82,3.7,2.95,-1782.44
0.021,882.79,3.8,3.11,-1807.39
0.022,890.33,3.97,3.26,-1829.26
0.023,895.14,4.11,3.4,-1845.72
0.024,897.8,4.17,3.53,-1857.78
0.025,899.74,4.3,3.66,-1868.07
0.026,899.55,4.41,3.78,-1874.07
0.027,897.8,4.49,3.9,-1876.76
0.028,894.91,4.52,4.0,-1876.92
0.029,891.7,4.59,4.1,-1876.09
0.03,887.54,4.65,4.19,-1873.16
0.031,882.57,4.67,4.28,-1868.37
0.032,877.31,4.72,4.36,-1862.69
0.033,871.45,4.75,4.43,-1855.58
0.034,865.3,4.77,4.5,-1847.6
0.035,858.89,4.8,4.56,-1838.84
0.036,852.16,4.79,4.62,-1829.21
0.037,845.71,4.81,4.67,-1819.81
0.038,839.09,4.83,4.71,-1809.86
0.039,832.31,4.83,4.76,-1799.37
0.04,825.66,4.8,4.79,-1788.88
0.041,819.61,4.79,4.83,-1779.3
0.042,813.77,4.79,4.86,-1769.94
0.043,808.03,4.81,4.88,-1760.6
0.044,802.08,4.78,4.91,-1750.7
0.045,796.82,4.76,4.93,-1741.92
0.046,791.93,4.76,4.94,-1733.71
0.047,787.1,4.74,4.96,-1725.5
0.048,782.65,4.72,4.97,-1717.85
0.049,778.54,4.72,4.98,-1710.76
0.05,774.48,4.69,4.99,-1703.68
0.051,771.01,4.69,5.0,-1697.6
0.052,767.58,4.65,5.01,-1691.53
0.053,764.9,4.67,5.01,-1686.79
0.054,761.82,4.63,5.02,-1681.27
0.055,759.56,4.65,5.02,-1677.21
0.056,757.01,4.57,5.02,-1672.59
0.057,755.81,4.6,5.03,-1670.41
0.058,754.0,4.56,5.03,-1667.12
0.059,752.99,4.57,5.03,-1665.28
0.06,751.74,4.54,5.03,-1663.0
0.061,751.1,4.56,5.03,-1661.83
0.062,750.1,4.51,5.03,-1659.99
0.063,749.95,4.53,5.03,-1659.7
0.064,749.43,4.52,5.03,-1658.75
0.065,749.04,4.48,5.03,-1658.03
0.066,749.36,4.5,5.03,-1658.63
0.067,749.31,4.5,5.03,-1658.57
0.068,749.27,4.48,5.03,-1658.5
0.069,749.64,4.51,5.03,-1659.22
0.07,749.47,4.48,5.03,-1658.93
0.071,749.85,4.48,5.03,-1659.65
0.072,750.21,4.48,5.04,-1660.36
0.073,750.57,4.48,5.04,-1661.07
0.074,750.92,4.47,5.04,-1661.79
0.075,751.4,4.48,5.04,-1662.72
0.076,751.75,4.31,5.04,-1663.43
0.077,754.95,4.47,5.04,-1669.46
0.078,755.32,4.48,5.04,-1670.39
0.079,755.64,4.45,5.05,-1671.1
0.08,756.44,4.48,5.05,-1672.7
0.081,756.75,4.45,5.05,-1673.41
0.082,757.49,4.47,5.05,-1674.9
0.083,757.97,4.45,5.06,-1675.94
0.084,758.7,4.49,5.06,-1677.43
0.085,758.82,4.48,5.06,-1677.8
0.086,759.14,4.49,5.06,-1678.51
0.087,759.28,4.46,5.07,-1678.89
0.088,759.83,4.45,5.07,-1680.04
0.089,760.62,4.49,5.07,-1681.64
