Time,U,Y,X1,X2
0.0,4.51,4.51,-1654.97,0.0
0.001,0.0,0.0,0.0,0.0
0.002,76.36,0.0,0.0,-142.1
0.003,151.86,0.0,0.0,-284.28
0.004,227.36,0.07,0.07,-426.46
0.005,299.84,0.22,0.22,-566.34
0.006,367.33,0.39,0.39,-701.14
0.007,431.94,0.7,0.7,-830.82
0.008,487.06,0.96,0.96,-950.24
0.009,539.48,1.2,1.2,-1061.66
0.01,588.07,1.48,1.48,-1165.34
0.011,631.02,1.76,1.76,-1260.11
0.012,669.43,1.98,1.98,-1346.14
0.013,705.74,2.27,2.27,-1425.37
0.014,735.11,2.47,2.47,-1495.2
0.015,763.95,2.68,2.68,-1559.11
0.016,788.81,2.91,2.91,-1616.34
0.017,808.93,3.09,3.09,-1666.01
0.018,827.77,3.3,3.3,-1710.22
0.019,841.96,3.44,3.44,-1747.58
0.02,856.13,3.64,3.64,-1780.89
0.021,865.14,3.8,3.8,-1807.76
0.022,872.51,3.9,3.9,-1829.61
0.023,879.81,4.03,4.03,-1848.38
0.024,884.01,4.17,4.17,-1862.89
0.025,885.67,4.26,4.26,-1872.95
0.026,887.46,4.32,4.32,-1880.48
0.027,888.76,4.44,4.44,-1886.05
0.028,886.37,4.5,4.5,-1887.63
0.029,884.7,4.54,4.54,-1887.45
0.03,882.81,4.62,4.62,-1885.97
0.031,878.5,4.66,4.66,-1881.87
0.032,874.7,4.67,4.67,-1876.62
0.033,871.8,4.72,4.72,-1871.33
0.034,866.66,4.75,4.75,-1864.28
0.035,861.72,4.79,4.79,-1856.38
0.036,855.54,4.9,4.9,-1847.0
0.037,845.77,4.8,4.8,-1834.04
0.038,843.53,4.84,4.84,-1824.73
0.039,836.76,4.81,4.81,-1813.92
0.04,832.31,4.83,4.83,-1804.13
0.041,826.3,4.81,4.81,-1793.7
0.042,821.56,4.84,4.84,-1783.89
0.043,815.08,4.8,4.8,-1773.09
0.044,811.1,4.79,4.79,-1763.66
0.045,806.36,4.79,4.79,-1754.39
0.046,801.58,4.76,4.76,-1745.22
0.047,798.11,4.76,4.76,-1737.11
0.048,793.61,4.72,4.72,-1728.82
0.049,790.93,4.72,4.72,-1721.84
0.05,787.18,4.72,4.72,-1714.78
0.051,783.43,4.71,4.71,-1707.72
0.052,780.3,4.69,4.69,-1701.13
0.053,777.57,4.7,4.7,-1695.1
0.054,774.04,4.68,4.68,-1688.81
0.055,771.48,4.66,4.66,-1683.12
0.056,769.22,4.66,4.66,-1677.98
0.057,766.78,4.71,4.71,-1673.05
0.058,761.82,4.57,4.57,-1666.33
0.059,764.37,4.57,4.57,-1664.32
0.06,763.31,4.57,4.57,-1662.16
0.061,762.16,4.56,4.56,-1659.99
0.062,761.32,4.61,4.61,-1658.06
0.063,757.95,4.52,4.52,-1654.34
0.064,760.07,4.57,4.57,-1653.79
0.065,757.67,4.54,4.54,-1651.53
0.066,757.76,4.56,4.56,-1650.31
0.067,756.3,4.49,4.49,-1648.43
0.068,758.43,4.52,4.52,-1648.96
0.069,757.23,4.51,4.51,-1648.28
0.07,757.22,4.49,4.49,-1647.9
0.071,758.09,4.5,4.5,-1648.33
0.072,757.67,4.54,4.54,-1648.24
0.073,756.09,4.51,4.51,-1647.0
0.074,756.55,4.49,4.49,-1646.65
0.075,757.43,4.51,4.51,-1647.08
0.076,756.7,4.51,4.51,-1646.76
