Time,U,Y,X1,X2
0.0,4.53,4.53,-1660.29,0.0
0.001,0.0,0.0,0.0,0.0
0.002,76.36,0.0,0.0,-142.07
0.003,151.84,0.0,0.0,-284.24
0.004,227.34,0.03,0.03,-426.42
0.005,301.41,0.18,0.18,-567.55
0.006,369.69,0.43,0.43,-703.65
0.007,431.33,0.65,0.65,-831.79
0.008,490.01,0.9,0.9,-953.12
0.009,543.65,1.18,1.18,-1066.5
0.01,591.41,1.48,1.48,-1170.7
0.011,634.01,1.74,1.74,-1265.54
0.012,672.96,2.01,2.01,-1352.06
0.013,707.58,2.26,2.26,-1430.28
0.014,738.23,2.48,2.48,-1500.51
0.015,766.29,2.71,2.71,-1564.05
0.016,789.87,2.93,2.93,-1620.1
0.017,810.34,3.11,3.11,-1669.35
0.018,828.62,3.31,3.31,-1712.9
0.019,843.24,3.45,3.45,-1750.16
0.02,856.73,3.64,3.64,-1782.9
0.021,866.23,3.79,3.79,-1809.8
0.022,873.75,3.92,3.92,-1831.76
0.023,879.86,4.04,4.04,-1849.7
0.024,884.27,4.14,4.14,-1863.89
0.025,887.46,4.25,4.25,-1874.92
0.026,888.94,4.34,4.34,-1882.74
0.027,889.18,4.42,4.42,-1887.71
0.028,888.19,4.51,4.51,-1890.03
0.029,885.64,4.55,4.55,-1889.56
0.03,883.47,4.62,4.62,-1887.75
0.031,879.46,4.66,4.66,-1883.65
0.032,875.64,4.71,4.71,-1878.41
0.033,870.88,4.72,4.72,-1871.69
0.034,866.74,4.74,4.74,-1864.61
0.035,862.06,4.77,4.77,-1856.84
0.036,857.02,4.78,4.78,-1848.4
0.037,851.79,4.79,4.79,-1839.41
0.038,846.72,4.81,4.81,-1830.23
0.039,840.92,4.84,4.84,-1820.34
0.04,834.6,4.83,4.83,-1809.66
0.041,829.26,4.8,4.8,-1799.26
0.042,824.98,4.82,4.82,-1789.83
0.043,819.16,4.82,4.82,-1779.72
0.044,813.81,4.78,4.78,-1769.64
0.045,810.02,4.79,4.79,-1760.77
0.046,804.81,4.76,4.76,-1751.45
0.047,801.26,4.79,4.79,-1743.25
0.048,795.63,4.74,4.74,-1733.99
0.049,792.92,4.76,4.76,-1726.5
0.05,788.27,4.71,4.71,-1718.38
0.051,785.84,4.71,4.71,-1711.76
0.052,782.44,4.69,4.69,-1705.14
0.053,779.7,4.68,4.68,-1699.12
0.054,776.95,4.66,4.66,-1693.41
0.055,774.68,4.66,4.66,-1688.29
0.056,771.94,4.67,4.67,-1683.12
0.057,768.73,4.62,4.62,-1677.57
0.058,768.28,4.65,4.65,-1674.0
0.059,764.77,4.58,4.58,-1669.05
0.06,765.44,4.58,4.58,-1666.72
0.061,763.97,4.61,4.61,-1664.11
0.062,761.5,4.57,4.57,-1660.64
0.063,761.39,4.53,4.53,-1658.55
0.064,762.1,4.56,4.56,-1657.82
0.065,760.28,4.53,4.53,-1655.9
0.066,760.68,4.56,4.56,-1655.15
0.067,758.7,4.53,4.53,-1653.11
0.068,759.05,4.51,4.51,-1652.22
0.069,759.48,4.5,4.5,-1651.99
0.07,759.64,4.51,4.51,-1651.95
0.071,759.15,4.51,4.51,-1651.53
0.072,758.93,4.51,4.51,-1651.13
0.073,758.88,4.5,4.5,-1650.85
0.074,759.04,4.5,4.5,-1650.81
0.075,759.01,4.51,4.51,-1650.75
0.076,758.51,4.51,4.51,-1650.33
0.077,758.45,4.51,4.51,-1650.06
0.078,758.3,4.47,4.47,-1649.75
0.079,759.85,4.48,4.48,-1650.79
0.08,760.05,4.51,4.51,-1651.5
0.081,758.88,4.51,4.51,-1651.02
0.082,758.82,4.49,4.49,-1650.74
0.083,759.59,4.5,4.5,-1651.17
0.084,759.19,4.49,4.49,-1651.07
0.085,759.77,4.48,4.48,-1651.48
0.086,760.43,4.47,4.47,-1652.22
0.087,761.12,4.47,4.47,-1653.17
0.088,761.78,4.47,4.47,-1654.23
0.089,762.33,4.46,4.46,-1655.27
0.09,763.04,4.49,4.49,-1656.45
0.091,762.58,4.5,4.5,-1656.78
0.092,762.16,4.48,4.48,-1656.67
0.093,763.21,4.49,4.49,-1657.45
0.094,763.13,4.47,4.47,-1657.8
0.095,764.25,4.49,4.49,-1658.91
0.096,763.89,4.48,4.48,-1659.23
0.097,764.55,4.51,4.51,-1659.99
0.098,763.54,4.51,4.51,-1659.63
0.099,763.23,4.51,4.51,-1659.23
0.1,763.18,4.48,4.48,-1658.94
0.101,764.41,4.51,4.51,-1659.74
0.102,763.41,4.52,4.52,-1659.39
0.103,762.79,4.48,4.48,-1658.73
0.104,764.31,4.49,4.49,-1659.55
0.105,764.24,4.51,4.51,-1659.92
0.106,763.36,4.51,4.51,-1659.46
0.107,763.3,4.52,4.52,-1659.19
0.108,762.69,4.5,4.5,-1658.54
0.109,763.13,4.51,4.51,-1658.52
0.11,762.79,4.52,4.52,-1658.23
0.111,762.18,4.49,4.49,-1657.57
0.112,763.24,4.53,4.53,-1658.05
0.113,761.75,4.49,4.49,-1657.1
0.114,762.99,4.51,4.51,-1657.59
0.115,762.12,4.49,4.5,-1657.13
0.116,762.68,4.49,4.49,-1657.32
0.117,763.08,4.5,4.5,-1657.73
0.118,762.67,4.51,4.51,-1657.64
0.119,762.32,4.48,4.48,-1657.32
0.12,763.56,4.49,4.49,-1658.12
0.121,763.48,4.49,4.5,-1658.48
0.122,763.37,4.5,4.5,-1658.62
0.123,763.15,4.51,4.51,-1658.55
0.124,762.81,4.5,4.5,-1658.25
0.125,762.96,4.52,4.52,-1658.21
0.126,762.16,4.5,4.5,-1657.54
0.127,762.6,4.49,4.5,-1657.52
0.128,762.88,4.48,4.48,-1657.69
0.129,763.74,4.5,4.5,-1658.46
0.13,763.04,4.48,4.48,-1658.33
0.131,764.08,4.5,4.5,-1659.11
0.132,763.39,4.49,4.5,-1658.99
0.133,763.66,4.51,4.51,-1659.17
0.134,763.13,4.52,4.52,-1658.86
0.135,762.36,4.49,4.49,-1658.08
0.136,763.51,4.52,4.52,-1658.56
0.137,762.33,4.51,4.51,-1657.87
0.138,762.46,4.49,4.49,-1657.6
0.139,763.24,4.48,4.48,-1658.03
0.14,763.91,4.51,4.51,-1658.78
0.141,762.75,4.49,4.49,-1658.29
0.142,763.61,4.49,4.49,-1658.73
0.143,763.82,4.53,4.53,-1659.13
0.144,762.17,4.49,4.49,-1658.07
0.145,763.51,4.5,4.5,-1658.55
0.146,763.1,4.48,4.48,-1658.45
0.147,764.15,4.52,4.52,-1659.24
0.148,762.68,4.49,4.49,-1658.51
0.149,763.73,4.51,4.51,-1658.98
0.15,762.86,4.52,4.52,-1658.53
0.151,762.34,4.5,4.5,-1657.89
0.152,762.78,4.51,4.51,-1657.87
0.153,762.29,4.5,4.5,-1657.45
0.154,762.54,4.51,4.51,-1657.42
0.155,762.05,4.48,4.48,-1656.98
0.156,763.38,4.5,4.5,-1657.79
0.157,762.69,4.52,4.52,-1657.68
0.158,761.88,4.49,4.5,-1657.01
0.159,762.63,4.48,4.48,-1657.22
0.16,763.33,4.5,4.5,-1657.87
0.161,762.73,4.5,4.5,-1657.76
0.162,762.7,4.52,4.52,-1657.7
0.163,761.89,4.5,4.5,-1657.04
0.164,762.33,4.5,4.5,-1657.02
0.165,762.3,4.49,4.5,-1656.95
0.166,762.58,4.49,4.5,-1657.13
0.167,762.66,4.49,4.5,-1657.29
0.168,762.75,4.5,4.5,-1657.45
0.169,762.53,4.51,4.51,-1657.38
