Time,U,Y,X1,X2
0.0,2.0,1.57,-516.09,0.0
0.001,0.0,0.0,0.0,0.0
0.002,33.94,0.0,0.0,0.0
0.003,67.87,0.0,0.03,-63.15
0.004,100.68,0.0,0.07,-128.39
0.005,133.18,0.11,0.11,-192.07
0.006,163.62,0.23,0.17,-255.57
0.007,191.73,0.38,0.23,-315.66
0.008,217.22,0.53,0.3,-371.7
0.009,240.06,0.69,0.37,-423.06
0.01,260.12,0.85,0.44,-469.64
0.011,277.27,0.99,0.52,-511.13
0.012,292.14,1.16,0.6,-547.21
0.013,304.13,1.32,0.67,-579.02
0.014,313.47,1.43,0.75,-605.43
0.015,320.92,1.56,0.82,-626.79
0.016,326.25,1.7,0.89,-644.47
0.017,329.28,1.8,0.96,-658.06
0.018,330.73,1.9,1.03,-667.19
0.019,330.63,1.97,1.09,-673.15
0.02,329.41,2.06,1.14,-676.02
0.021,326.84,2.12,1.2,-676.59
0.022,323.28,2.18,1.25,-674.41
0.023,318.88,2.24,1.29,-670.17
0.024,313.62,2.27,1.33,-664.11
0.025,307.93,2.3,1.37,-656.25
0.026,301.89,2.32,1.4,-647.36
0.027,295.59,2.33,1.43,-637.6
0.028,289.35,2.34,1.46,-627.17
0.029,282.97,2.35,1.48,-616.65
0.03,276.55,2.34,1.5,-605.7
0.031,270.35,2.33,1.51,-594.53
0.032,264.37,2.33,1.52,-583.61
0.033,258.45,2.31,1.53,-572.94
0.034,252.97,2.3,1.54,-562.29
0.035,247.74,2.29,1.55,-552.32
0.036,242.8,2.26,1.55,-542.73
0.037,238.34,2.24,1.55,-533.6
0.038,234.29,2.21,1.55,-525.28
0.039,230.77,2.18,1.55,-517.67
0.04,227.7,2.17,1.55,-510.98
0.041,224.89,2.15,1.55,-505.1
0.042,222.47,2.12,1.54,-499.69
0.043,220.61,2.1,1.54,-494.96
0.044,219.07,2.08,1.54,-491.28
0.045,217.78,2.07,1.53,-488.19
0.046,216.79,2.05,1.53,-485.55
0.047,216.11,2.02,1.53,-483.48
0.048,215.92,2.01,1.52,-482.0
0.049,215.91,1.99,1.52,-481.43
0.05,216.13,1.98,1.51,-481.23
0.051,216.58,1.97,1.51,-481.47
0.052,217.21,1.96,1.51,-482.18
0.053,217.88,1.96,1.51,-483.23
0.054,218.61,1.95,1.5,-484.4
0.055,219.45,1.94,1.5,-485.67
0.056,220.46,1.93,1.5,-487.18
0.057,221.64,1.94,1.5,-489.03
0.058,222.63,1.94,1.5,-491.23
0.059,223.59,1.93,1.5,-493.09
0.06,224.74,1.93,1.5,-494.92
0.061,225.88,1.93,1.5,-497.11
0.062,227.01,1.93,1.51,-499.31
0.063,228.13,1.94,1.51,-501.49
0.064,229.05,1.95,1.51,-503.68
0.065,229.84,1.95,1.51,-505.52
0.066,230.63,1.95,1.51,-507.11
0.067,231.36,1.96,1.52,-508.71
0.068,232.02,1.96,1.52,-510.19
0.069,232.62,1.96,1.52,-511.56
0.07,233.15,1.88,1.52,-512.81
0.071,235.05,1.97,1.53,-513.94
0.072,235.46,1.97,1.53,-517.61
0.073,235.82,1.97,1.53,-518.59
0.074,236.22,1.98,1.53,-519.43
0.075,236.5,1.99,1.54,-520.33
0.076,236.6,1.99,1.54,-521.0
0.077,236.63,1.99,1.54,-521.32
0.078,236.74,2.0,1.55,-521.52
0.079,236.67,2.0,1.55,-521.84
0.08,236.59,2.0,1.55,-521.82
0.081,236.53,1.99,1.55,-521.79
0.082,236.59,2.0,1.55,-521.77
0.083,236.47,2.01,1.56,-521.98
0.084,236.29,2.01,1.56,-521.85
0.085,236.12,2.01,1.56,-521.59
0.086,235.82,2.01,1.56,-521.34
0.087,235.66,2.01,1.56,-520.86
0.088,235.44,2.01,1.56,-520.6
0.089,235.16,2.01,1.56,-520.25
0.09,234.89,2.01,1.56,-519.77
0.091,234.68,2.01,1.57,-519.29
0.092,234.53,2.01,1.57,-518.92
0.093,234.27,2.01,1.57,-518.68
0.094,234.0,2.0,1.57,-518.21
0.095,233.93,2.0,1.57,-517.73
0.096,233.86,2.01,1.57,-517.6
0.097,233.72,2.01,1.57,-517.48
0.098,233.59,2.0,1.57,-517.23
0.099,233.52,2.01,1.57,-516.99
0.1,233.39,2.01,1.57,-516.86
0.101,233.26,2.0,1.57,-516.62
0.102,233.25,2.0,1.57,-516.38
0.103,233.25,2.01,1.57,-516.36
0.104,233.06,2.0,1.57,-516.36
0.105,232.99,2.0,1.57,-516.0
0.106,232.99,2.01,1.57,-515.87
0.107,232.86,2.0,1.57,-515.86
0.108,232.79,2.0,1.57,-515.62
0.109,232.79,2.0,1.57,-515.49
0.11,232.79,2.0,1.57,-515.48
0.111,232.79,2.0,1.57,-515.47
0.112,232.79,2.0,1.57,-515.46
0.113,232.78,1.99,1.57,-515.45
0.114,232.9,2.0,1.57,-515.44
0.115,232.9,2.0,1.57,-515.66
0.116,232.89,2.0,1.57,-515.66
0.117,232.89,2.0,1.57,-515.64
0.118,232.88,1.99,1.57,-515.63
0.119,233.0,1.99,1.57,-515.62
0.12,233.12,1.99,1.57,-515.84
0.121,233.23,2.0,1.57,-516.07
0.122,233.22,1.99,1.57,-516.29
0.123,233.34,1.99,1.57,-516.28
0.124,233.45,1.99,1.57,-516.49
0.125,233.56,2.0,1.57,-516.72
0.126,233.55,1.99,1.57,-516.94
0.127,233.72,2.0,1.57,-516.93
0.128,233.71,2.0,1.57,-517.25
0.129,233.7,2.0,1.57,-517.25
0.13,233.69,2.0,1.57,-517.23
0.131,233.62,2.0,1.57,-517.22
0.132,233.61,2.0,1.57,-517.1
0.133,233.6,2.0,1.57,-517.08
0.134,233.59,2.0,1.57,-517.07
0.135,233.52,2.0,1.57,-517.06
0.136,233.51,2.0,1.57,-516.94
0.137,233.51,2.0,1.57,-516.92
0.138,233.44,2.0,1.57,-516.91
0.139,233.43,2.0,1.57,-516.79
0.14,233.42,2.01,1.57,-516.77
0.141,233.29,1.99,1.57,-516.76
0.142,233.41,2.0,1.57,-516.52
0.143,233.35,2.0,1.57,-516.74
0.144,233.28,2.0,1.57,-516.62
0.145,233.21,2.01,1.57,-516.49
0.146,233.08,2.0,1.57,-516.36
0.147,233.08,2.0,1.57,-516.12
0.148,233.08,2.0,1.57,-516.11
0.149,233.08,1.99,1.57,-516.1
